kodeProduk,namaProduk,harga,stok
M001,Nasi Goreng,35000,40
M002,Mie Goreng,30000,50
M003,Ayam Penyet,50000,30
M004,Sate Ayam,60000,25
M005,Rawon,45000,20
M006,Es Teh Manis,10000,60
M007,Es Jeruk,12000,55
M008, Kopi Hitam,15000,45
M009,Air Mineral 600ml,8000,70
M010,Soda,12000,50
M011,Kari Ayam,55000,15
M012,Tom Yum,60000,18
M013,Nasi Uduk,40000,35
M014,Siomay,25000,25
M015,Bubur Ayam,35000,28
M016,Teh Susu,12000,40
M017,Milkshake Coklat,20000,22
M018,Juice Apel,15000,30
M019,Ice Cream Vanilla,18000,50
M020,Kopi Latte,20000,25
M021,Ayam Bakar,55000,20
M022,Mi Rebus,32000,45
M023,Es Campur,20000,30
M024,Mie Aceh,40000,18
M025,Kue Cubir,15000,40
